Id,Denumire,Categorie,Imagine,Clasa_Eenergetica,Pret,Url,Consum_energetic,UM
1,"Televizor Smart QLED, Samsung 43Q60A, 108 cm, Ultra HD 4K, Clasa G",TELEVIZOARE,https://www.flanco.ro/media/catalog/product/cache/e53d4628cd85067723e6ea040af871ec/1/4/146485-1.jpg,Clasa G,2269.99,https://www.flanco.ro/televizor-smart-qled-samsung-43q60a-108-cm-ultra-hd-4k.html,0.066,kWh
2,"Televizor Smart LED, Samsung UE32T4302, 80 cm, HD, Clasa F",TELEVIZOARE,https://www.flanco.ro/media/catalog/product/cache/e53d4628cd85067723e6ea040af871ec/1/4/140698--1.jpg,Clasa F,1499.99,https://www.flanco.ro/televizor-smart-led-samsung-ue32t4302-80-cm-hd.html,0.031,kWh
3,"Televizor Smart LED, Samsung 43TU7092, 108 cm, Ultra HD 4K, Clasa G",TELEVIZOARE,https://www.flanco.ro/media/catalog/product/cache/e53d4628cd85067723e6ea040af871ec/1/4/142986-1.jpg,Clasa G,1699.99,https://www.flanco.ro/televizor-smart-led-samsung-43tu7092-108-cm-ultra-hd-4k.html,0.067,kWh
4,"Televizor Smart LED, Samsung 50TU7092, 125 cm, Ultra HD 4K",TELEVIZOARE,https://www.flanco.ro/media/catalog/product/cache/e53d4628cd85067723e6ea040af871ec/1/4/142986-1_1.jpg,Clasa G,2599.99,https://www.flanco.ro/televizor-smart-led-samsung-50tu7092-125-cm-ultra-hd-4k.html,0.086,kWh
5,"Televizor Smart LED, LG 55UP75003LF, 139 cm, Ultra HD 4K, Clasa G",TELEVIZOARE,https://www.flanco.ro/media/catalog/product/cache/e53d4628cd85067723e6ea040af871ec/t/e/televizor_samsung_led_11.jpg,Clasa G,2999.99,https://www.flanco.ro/televizor-smart-led-lg-55up75003lf-139-cm-ultra-hd-4k.html,0.103,kWh
6,"Televizor Smart LED, LG 43UP75003LF, 108 cm, Ultra HD 4K, Clasa G",TELEVIZOARE,https://www.flanco.ro/media/catalog/product/cache/e53d4628cd85067723e6ea040af871ec/1/4/146686-1r.jpg,Clasa G,2299.99,https://www.flanco.ro/televizor-smart-led-lg-43up75003lf-108-cm-ultra-hd-4k.html,0.067,kWh
7,"Televizor LED, NEI 32NE4000, 80 cm, HD",TELEVIZOARE,https://www.flanco.ro/media/catalog/product/cache/e53d4628cd85067723e6ea040af871ec/1/2/126645-2.jpg,Clasa F,799.99,https://www.flanco.ro/televizor-led-nei-32ne4000-80-cm-hd.html,0.031,kWh
8,"Televizor LED, Samsung 32T4002, 80 cm, HD, Clasa F",TELEVIZOARE,https://www.flanco.ro/media/catalog/product/cache/e53d4628cd85067723e6ea040af871ec/1/4/140698-1_1.jpg,Clasa F,949.99,https://www.flanco.ro/televizor-led-samsung-32t4002-80-cm-hd.html,0.027,kWh
9,"Televizor Smart LED, NEI 32NE4700, 80 cm, HD, Clasa F",TELEVIZOARE,https://www.flanco.ro/media/catalog/product/cache/e53d4628cd85067723e6ea040af871ec/1/4/144817-1.jpg,Clasa F,849.99,https://www.flanco.ro/televizor-smart-led-nei-32ne4700-80-cm-hd.html,0.031,kWh
10,"Televizor Smart LED, Samsung 55AU7172, 138 cm, Ultra HD 4K, Clasa G",TELEVIZOARE,https://www.flanco.ro/media/catalog/product/cache/e53d4628cd85067723e6ea040af871ec/1/4/146468-1_2.jpg,Clasa G,3499.99,https://www.flanco.ro/televizor-smart-led-samsung-55au7172-138-cm-ultra-hd-4k.html,0.101,kWh
